id	num 	item_name
1	1	Chips and Fresh Tomato Salsa
1	1	Izze
1	1	Nantucket Nectar
1	1	Chips and Tomatillo-Green Chili Salsa
2	2	Chicken Bowl
3	1	Chicken Bowl
3	1	Side of Chips
4	1	Steak Burrito
4	1	Steak Soft Tacos
5	1	Steak Burrito
5	1	Chips and Guacamole
6	1	Chicken Crispy Tacos
6	1	Chicken Soft Tacos
7	1	Chicken Bowl
7	1	Chips and Guacamole
8	1	Chips and Tomatillo-Green Chili Salsa
8	1	Chicken Burrito
9	1	Chicken Burrito
9	2	Canned Soda
10	1	Chicken Bowl
10	1	Chips and Guacamole
11	1	Barbacoa Burrito
11	1	Nantucket Nectar
12	1	Chicken Burrito
12	1	Izze
13	1	Chips and Fresh Tomato Salsa
13	1	Chicken Bowl
14	1	Carnitas Burrito
14	1	Canned Soda
15	1	Chicken Burrito
15	1	Chips and Tomatillo-Green Chili Salsa
16	1	Steak Burrito
16	1	Side of Chips
17	1	Carnitas Bowl
17	1	Bottled Water
18	1	Chicken Soft Tacos
18	1	Chicken Soft Tacos
18	1	Chips and Guacamole
18	1	Chips and Tomatillo Green Chili Salsa
19	1	Barbacoa Bowl
19	1	Chips
20	1	Chips and Guacamole
20	1	Chicken Bowl
20	1	Steak Burrito
20	1	Chicken Salad Bowl
21	1	Chicken Burrito
21	1	Steak Burrito
21	1	Izze
22	1	Steak Burrito
22	1	Chips and Guacamole
23	1	Steak Burrito
23	2	Canned Soda
24	1	Chicken Burrito
24	1	Canned Soda
25	1	Steak Bowl
25	1	Chips and Fresh Tomato Salsa
26	1	Barbacoa Soft Tacos
26	1	Veggie Burrito
27	1	Barbacoa Bowl
27	1	Chips
28	1	Chips and Guacamole
28	1	Steak Soft Tacos
28	1	Veggie Bowl
28	1	Chicken Burrito
29	1	Steak Burrito
29	1	Steak Soft Tacos
30	1	Izze
30	1	Steak Burrito
30	1	Chicken Burrito
31	1	Steak Burrito
31	1	Side of Chips
32	1	Steak Burrito
32	1	Chips and Guacamole
33	1	Chicken Burrito
33	1	Chips and Guacamole
34	1	Chicken Soft Tacos
34	1	Chicken Bowl
34	1	Chips
34	1	Chicken Bowl
35	1	Chicken Soft Tacos
35	1	Chips
36	1	Barbacoa Burrito
36	1	Chicken Burrito
37	1	Chicken Burrito
37	1	Steak Soft Tacos
38	1	Veggie Bowl
38	1	Steak Bowl
38	1	Bottled Water
39	1	Carnitas Burrito
39	1	Chips and Fresh Tomato Salsa
40	1	Steak Bowl
40	1	Steak Bowl
40	1	Steak Crispy Tacos
41	1	Carnitas Burrito
41	1	Chips and Guacamole
42	1	Barbacoa Bowl
42	1	Chips and Guacamole
43	1	Carnitas Bowl
43	1	Chicken Burrito
44	1	Chicken Bowl
44	1	Chips and Guacamole
45	1	Steak Burrito
45	1	Steak Bowl
45	1	Chips and Guacamole
46	1	Veggie Burrito
46	1	Nantucket Nectar
47	1	Steak Burrito
47	1	Canned Soda
48	1	Steak Burrito
48	1	Chips and Guacamole
49	1	Chicken Bowl
49	1	Chips and Tomatillo Red Chili Salsa
49	1	Chips and Guacamole
50	1	Chips and Tomatillo-Green Chili Salsa
50	1	Chicken Burrito
51	1	Barbacoa Bowl
51	1	Chicken Burrito
51	1	Canned Soda
52	1	Steak Soft Tacos
52	1	Chips and Guacamole
53	1	Chicken Burrito
53	1	Barbacoa Burrito
53	1	Chips and Guacamole
54	1	Chicken Bowl
54	1	Chips and Guacamole
55	1	Steak Burrito
55	1	Canned Soda
56	1	Barbacoa Bowl
56	1	Chips and Tomatillo Red Chili Salsa
56	1	Chips and Guacamole
57	1	Barbacoa Burrito
57	1	Chips and Guacamole
58	1	Chicken Burrito
58	1	Chips and Tomatillo-Green Chili Salsa
59	1	Chicken Burrito
60	2	Chicken Salad Bowl
61	1	Barbacoa Bowl
61	1	Chips and Guacamole
62	1	Chicken Bowl
